cultivo,lat,lon,presencia,ET0_media_diaria,ET0_anual_mm,deficit_media_diaria,deficit_anual_mm,pct_dias_deficit,dias_estres_papa_anual,dias_estres_maiz_anual,dias_estres_frejol_anual,dias_estres_quinua_anual,dias_secos_anual,cdd_max,eventos_sequia_7d,eventos_sequia_15d,dias_helada_anual,pr_anual_mm,indice_aridez,tmax_media_anual,tmin_media_anual,rango_termico_diurno
quinua,-1.783208,-78.668026,1,4.077092237717107,1489.157939826173,-2.1128377575817927,-771.71399095675,84.97745208568207,139.62915123208245,0.0,2.1206736189402475,0.0588258978901594,250.7189181027541,54.3,9.665095023353196,2.4706877113866965,0.0,717.444,0.4817773590618892,26.057886123657227,19.590803146362305,6.467069149017334
quinua,-1.736716,-78.760539,1,3.9644874402669688,1448.0290375575105,-2.075642790960569,-758.1285293983476,85.04106941536479,118.978319777742,0.0,1.0088641488162344,0.0323542438395876,242.95978217104204,55.5,8.8915344660976,2.4795115960702203,0.0,689.9005,0.4764402508315478,26.966411590576172,20.686660766601562,6.279777526855469
quinua,-2.033731,-78.52787,1,3.5859854880312434,1309.7811995034117,-0.4526750692011401,-165.3395690257164,78.9668223546465,17.591884764052182,0.0,0.0147064744725398,0.0,235.47124536962468,47.1,8.403279513609275,1.7088923337091315,0.0,1144.4417,0.8737593270127755,25.041919708251953,18.156789779663086,6.885112762451172
quinua,-0.807929,-78.9296,1,3.693763630503495,1349.1471660414018,0.1577137613557559,57.604951335189845,69.07553551296506,115.64583266226444,0.0,0.6588500563697857,0.0235303591560637,179.25133475599938,56.2,5.620814543404735,1.5971231277178286,0.0,1406.7522,1.0426972452194696,28.737197875976562,21.382944107055664,7.354296684265137
quinua,-1.696657,-78.710635,1,3.986212321328933,1455.9640503653925,-2.123740874473588,-775.696354401478,85.52182315992914,122.9020071670156,0.0,1.0794552262844257,0.0264716540505717,244.86868255757773,58.3,9.009186261877918,2.629517635690127,0.0,680.2677,0.467227975134488,26.966411590576172,20.686660766601562,6.279777526855469
quinua,-0.752033,-78.665743,1,3.826967101125292,1397.7997336860128,-1.3056117502297055,-476.8746917713999,79.6327911096795,107.55727170236752,0.0,0.4088399903366081,0.0,224.5972781446288,69.8,7.512067160573361,2.2089124657754877,0.0,920.925,0.6588401134978266,26.057886123657227,19.590803146362305,6.467069149017334
quinua,-4.035,-79.202222,1,4.113617845138688,1502.498917936906,-0.4220925683323534,-154.16931058339205,73.39507167015623,267.654894105331,0.0,1.8471331937510065,0.0411781285231116,177.36302343372523,42.9,5.288448220325334,1.0794552262844257,0.0,1348.3297,0.8973906959222215,30.623083114624023,23.53511619567871,7.087989807128906
quinua,-1.33333,-78.5,1,4.118504299392547,1504.2836953531282,-2.1397181810766703,-781.5320656382538,84.81961668545661,158.6799182638106,0.0,2.250090594298599,0.0529433081011434,236.25951240135288,46.2,8.473870591077468,1.71183362860364,0.0,722.75165,0.4804611325372431,25.041919708251953,18.156789779663086,6.885112762451172
quinua,-0.116667,-78.5,1,3.4524090194609918,1260.992394358127,0.4642031971546815,169.55021776074744,72.37638911257852,76.95898091480107,0.0,0.0852975519407312,0.0,212.56444073119664,66.4,6.520850781124175,2.014787002737961,0.0,1430.5426,1.1344609667353929,25.041919708251953,18.156789779663086,6.885112762451172
quinua,-1.5875,-79.03083,1,4.02054394520844,1468.5036759873824,-0.1113851502415469,-40.68342612572502,70.41230471895634,240.168493316154,0.0,7.982674343694636,0.3411902077629248,176.47475237558382,51.5,6.038478418424867,1.7030097439201155,0.0,1427.8203,0.9722938645722896,29.72907066345215,22.230512619018555,7.4985198974609375
quinua,0.08333,-78.5,1,3.4650314033779117,1265.602720083782,0.1778748376230988,64.96878444183685,77.59139958125301,189.6017514897729,0.0,0.2264797068771138,0.0,239.98907432758895,76.0,8.13562167820905,2.5765743275889834,0.0,1330.5715,1.051340238534236,25.041919708251953,18.156789779663086,6.885112762451172
quinua,-1.1,-78.61666,1,4.034122906881328,1473.4633917384049,-2.134966968491878,-779.7966852416586,85.17555161861814,134.9289619906587,0.0,2.750110726364954,0.0764736672572072,250.09242229022388,67.8,9.238607263649538,2.4736290062812047,0.0,693.6666,0.4707726066230983,26.057886123657227,19.590803146362305,6.467069149017334
quinua,-3.633,-79.233,1,3.8179989516967057,1394.5241171072216,-0.3895607819981198,-142.28707562481324,76.24577226606539,81.3179799484619,0.0,0.3411902077629248,0.0147064744725398,203.2022990819777,45.4,6.509085601546143,1.4912365115155417,0.0,1252.237,0.8979642633330199,30.623083114624023,23.53511619567871,7.087989807128906
quinua,0.233,-78.216,1,3.660778797473848,1337.0994557773224,-1.1079433770420946,-404.676318464625,80.45659526493799,102.95120389756804,0.0,0.2853056047672732,0.0,240.42438597197616,70.0,8.020911177323239,2.4206856981800606,0.0,932.42316,0.6973509132954367,23.729984283447266,15.161239624023438,8.568760871887207
quinua,-2.545,-78.8714,1,3.905280442098479,1426.4036814764695,-0.8067557815778578,-294.66754922131247,78.99742309550652,90.07127355451762,0.0,0.6000241584796262,0.0235303591560637,218.5529171364149,39.7,7.188524722177486,1.3441717667901432,0.0,1131.7361,0.793415041116586,27.836578369140625,21.32412338256836,6.512437343597412
quinua,-0.3667,-78.8,1,3.51642003930798,1284.372419357239,2.3636438290037227,863.3209085436098,67.35947817684007,168.84797471412463,0.0,0.0676497825736833,0.0,187.75461829602187,61.1,5.423747785472701,1.470647447253986,0.0,2147.693,1.6721828309977211,26.966411590576172,20.686660766601562,6.279777526855469
quinua,-0.174312,-78.609735,1,3.4121542546355657,1246.2893415056406,1.6696384568220757,609.835446354263,69.07311966500241,98.25101465614428,0.0,0.0205890642615558,0.0,203.57290223868577,66.9,6.200249637622806,1.7500704622322438,0.0,1856.1248,1.48932873551314,26.057886123657227,19.590803146362305,6.467069149017334
quinua,-3.449604,-79.965797,1,4.594039624841594,1677.9729729733915,-2.083896526041096,-761.1432061365101,86.75712675148979,365.14705467869214,2.511865839909808,274.5581132227411,136.64373691415688,262.7076360927685,113.4,9.4827347398937,4.200169109357384,0.0,916.8299,0.5463933668517003,30.925806045532227,23.84659194946289,7.079246520996094
quinua,-0.133333,-78.183333,1,3.438425418163209,1255.884883984112,-0.5147553415770093,-188.01438851100264,72.11628281526815,18.556629489450795,0.0,0.0,0.0,167.62439603800934,31.2,3.6442643742953775,0.3794270413915284,0.0,1067.8705,0.8502925707700723,23.162927627563477,14.356684684753418,8.80624771118164
quinua,-0.097462,-78.430135,1,3.870207073431164,1413.5931335707323,-1.5157273560844244,-553.619416809836,80.32372362699309,216.8557899822837,0.0,13.977033338701885,0.844151634723788,235.5683081011435,76.1,7.832668304074732,2.5706917377999674,0.0,859.97375,0.6083628748653084,25.659221649169922,17.483850479125977,8.175352096557617
quinua,-3.455499,-79.967928,1,4.594023751036,1677.9671750658988,-2.083880652235507,-761.137408229019,86.75712675148979,365.14705467869214,2.511865839909808,274.5581132227411,136.64373691415688,262.7076360927685,113.4,9.4827347398937,4.200169109357384,0.0,916.8299,0.5463952549030793,30.925806045532227,23.84659194946289,7.079246520996094
quinua,-1.153542,-78.543667,1,4.127510079806969,1507.5730566494956,-2.192058782251012,-800.6494702171823,85.65308423256563,171.61573320985664,0.0,3.2236592043807377,0.0617671927846674,247.2217184731841,53.5,9.288609276856176,2.2647970687711383,0.0,706.92365,0.4689146362800223,25.041919708251953,18.156789779663086,6.885112762451172
quinua,0.05,-78.233333,1,3.725874515663608,1360.8756668461326,-1.4866191225061982,-542.9876344953889,82.33531969721372,129.02872443227574,0.0,0.9676860202931228,0.0235303591560637,245.4687067160573,72.5,8.409162103398291,2.6765783540022547,0.0,817.88806,0.601003368117399,24.17557144165039,15.478675842285156,8.696881294250488
quinua,-0.194568,-78.493005,1,3.85308227466166,1407.3383008201713,-1.1594249768472258,-423.4799727934492,76.94314704461266,208.3936845707843,0.0,8.426809872765341,0.417663875020132,221.40891447898213,67.2,7.1120510549202764,2.232442824931551,0.0,983.8584,0.6990936985382382,25.659221649169922,17.483850479125977,8.175352096557617
quinua,-1.427421,-78.767071,1,3.71872272688046,1358.2634759930884,-1.8055725835322012,-659.4853861351367,83.72443227572879,46.10479747141246,0.0,0.0323542438395876,0.0,231.05930302786268,52.2,7.9356136253825085,1.8500744886455145,0.0,698.77814,0.514464634849414,26.966411590576172,20.686660766601562,6.279777526855469
quinua,-0.21667,-78.25,1,3.539939024495145,1292.9627286968516,-0.5461710770392351,-199.48898588858052,71.7450475116766,40.63987155741664,0.0,0.0058825897890159,0.0,159.50642212916733,28.6,3.5207299887260426,0.3853096311805443,0.0,1093.4738,0.8457116659552002,24.17557144165039,15.478675842285156,8.696881294250488
quinua,-0.4167,-78.5833,1,3.684278585364143,1345.6827533042529,0.0894322485179024,32.66512877116385,67.29022386857787,106.43957964245448,0.0,0.1294169753583507,0.0,176.70123208246096,51.1,5.076674987920759,1.2412264454823645,0.0,1378.3479,1.0242775570583498,25.041919708251953,18.156789779663086,6.885112762451172
quinua,0.5,-78.1667,1,3.6720908569677233,1341.2311855074604,-1.274573109440104,-465.5378282229979,81.83201803833146,199.4197938476405,0.0,1.4735887421484943,0.0352955387340956,230.9181208729264,59.3,7.467947737155742,2.303033902399742,0.0,875.69336,0.6529037652478731,25.218109130859375,17.39214515686035,7.825974941253662
quinua,0.616667,-77.7833,1,3.601272206691243,1315.3646734939762,-0.1115712591733395,-40.751402413062266,70.84796263488485,29.11881945562892,0.0,0.0,0.0,168.71267514897733,22.9,3.376606538895152,0.3029533741343212,0.0,1274.6133,0.9690059449739818,22.249088287353516,13.034960746765137,9.214146614074707
quinua,-0.516667,-78.5667,1,3.668799342638292,1340.0289598986365,-0.4701894302203142,-171.73668938796976,75.94781768400708,70.97344580447738,0.0,0.0176477693670478,0.0,209.72314986310192,62.0,6.612030922853921,1.894193912063134,0.0,1168.2922,0.8718448859569714,25.041919708251953,18.156789779663086,6.885112762451172
quinua,-0.5,-78.1667,1,3.3626577333538954,1228.21073710751,0.8921035263021537,325.84081298186163,60.12401352874858,4.347233854082783,0.0,0.0,0.0,122.02844258334676,20.9,1.470647447253986,0.0941214366242551,0.0,1554.0516,1.2652977020959717,23.162927627563477,14.356684684753418,8.80624771118164
quinua,0.66,-77.83,1,3.604252546634505,1316.4532426582527,-0.6385680878270266,-233.2369940788214,74.32758898373328,32.618960380093405,0.0,0.0029412948945079,0.0,185.2515763407956,28.0,4.411942341761959,0.5676699146400386,0.0,1083.2163,0.8228190291614261,22.29903221130371,13.105870246887207,9.193154335021973
