cultivo,lat,lon,presencia,ET0_media_diaria,ET0_anual_mm,deficit_media_diaria,deficit_anual_mm,pct_dias_deficit,dias_estres_papa_anual,dias_estres_maiz_anual,dias_estres_frejol_anual,dias_estres_quinua_anual,dias_secos_anual,cdd_max,eventos_sequia_7d,eventos_sequia_15d,dias_helada_anual,pr_anual_mm,indice_aridez,tmax_media_anual,tmin_media_anual,rango_termico_diurno
frejol,-1.335721,-78.545279,1,4.118503144586967,1504.2832735603895,-2.139717026271088,-781.5316438455148,84.81961668545661,158.6799182638106,0.0,2.250090594298599,0.0529433081011434,236.25951240135288,46.2,8.473870591077468,1.71183362860364,0.0,722.75165,0.4804612672526246,25.041919708251953,18.156789779663086,6.885112762451172
frejol,-2.142253,-79.943582,1,4.508894469451141,1646.873704967029,-0.9177541631367284,-335.20970808569,81.1233693026252,365.2058805765824,10.64748751811886,317.0215876147527,202.42579722982765,237.11248792076017,106.0,8.39739692382026,3.700148977291029,0.0,1311.664,0.7964600942320528,30.925806045532227,23.84659194946289,7.079246520996094
frejol,-4.650031,-79.132647,1,3.839603999238344,1402.415360721805,0.6802862642075928,248.47455800182323,70.07730713480433,175.42176880335,0.0,0.0058825897890159,0.0,189.0487880496054,46.8,6.344373087453695,1.4000563697857946,0.0,1650.8899,1.1771761764989992,30.214519500732422,23.011127471923828,7.203389644622803
frejol,-1.699093,-78.614012,1,4.118025831426051,1504.1089349283652,-2.2242869101906626,-812.4207939471395,85.59107746819132,148.37656224834916,0.0,3.220717909486229,0.0852975519407312,251.66307376389108,54.3,9.765099049766466,2.529513609276856,0.0,691.6882,0.4598649459431615,26.057886123657227,19.590803146362305,6.467069149017334
frejol,-2.186255,-78.356676,1,3.7086888136860994,1354.5985891988478,4.313100432893921,1575.3599331145044,63.69383153486874,51.2138267031728,0.0,0.0,0.0,171.7363263005315,31.1,4.406059751972942,0.5294330810114352,0.0,2929.9585,2.162969018454725,24.904949188232422,16.437328338623047,8.467633247375488
frejol,-0.825269,-78.642502,1,3.9721917114204666,1450.8430225963257,-1.6901064384561064,-617.3113766460926,81.90690932517313,133.01417901433405,0.0,1.9677262844258336,0.0264716540505717,238.1331172491544,73.5,8.273862538250926,2.5206897245933324,0.0,833.5316,0.5745159006563887,26.057886123657227,19.590803146362305,6.467069149017334
frejol,-1.826664,-78.183406,1,3.910942832980376,1428.4718697460823,5.041492716839537,1841.4052148256408,51.2876469640844,316.3480310839104,0.0,0.305894669028829,0.0,107.17784466097598,18.6,1.5324146400386536,0.0882388468352391,0.0,3269.877,2.289077300578196,23.162927627563477,14.356684684753418,8.80624771118164
frejol,0.608066,-78.126653,1,3.546047645499592,1295.193902518726,-0.331230501393481,-120.98194063396892,73.27669511998712,186.7281063778386,0.0,0.3823683362860363,0.0088238846835239,173.24226928651953,39.2,4.4678269447576096,0.9059188275084552,0.0,1174.212,0.906593173002638,25.022714614868164,17.741008758544922,7.281720161437988
frejol,-0.807244,-78.933306,1,3.693763807564817,1349.147230713049,0.1577135842944323,57.60488666354141,69.07553551296506,115.64583266226444,0.0,0.6588500563697857,0.0235303591560637,179.25133475599938,56.2,5.620814543404735,1.5971231277178286,0.0,1406.7522,1.0426971952341924,28.737197875976562,21.382944107055664,7.354296684265137
frejol,-0.098387,-78.514087,1,3.4917709500898417,1275.369339520315,-0.0082608025432385,-3.017258128917871,75.2222580125624,99.74225116765984,0.0,0.1382408600418747,0.0,228.68861934288933,78.5,7.515008455467869,2.400096633918505,0.0,1272.352,0.9976371100603456,25.041919708251953,18.156789779663086,6.885112762451172
frejol,-0.330157,-78.451073,1,3.795276388761766,1386.2247009952353,-0.5239430368194423,-191.37019419830125,73.07698502174263,148.8971714446771,0.0,1.076513931389918,0.0205890642615558,194.9078474794653,53.5,6.029654533741343,1.49417780641005,0.0,1194.8546,0.8619496121885545,25.659221649169922,17.483850479125977,8.175352096557617
frejol,-2.240239,-80.910934,1,4.1871710414950485,1529.3642229060663,-3.2335001962949503,-1181.035946696731,94.55951038814624,363.3646299726204,4.732543485263328,223.3207561604123,132.8259361410855,307.2623711547752,195.0,8.235625704622322,4.482533419230149,0.0,348.3283,0.2277583960576286,30.925806045532227,23.84659194946289,7.079246520996094
frejol,-1.504167,-78.049167,1,3.985405004751565,1455.6691779855091,6.280230517899307,2293.8541966627213,45.2842647769367,361.75280037043,0.0,24.14803108391045,0.4147225801256241,91.93311322274118,16.7,1.0000402641327106,0.0529433081011434,0.0,3749.5234,2.5758146256350125,21.558897018432617,12.820033073425293,8.738866806030273
frejol,0.312407,-78.257828,1,3.694720289365391,1349.4965856907093,-1.085081142776667,-396.32588739917753,80.9768078595587,118.428297632469,0.0,0.4500181188597197,0.0088238846835239,246.462864390401,70.5,8.409162103398291,2.5824569173780003,0.0,953.1707,0.7063193427999248,24.051631927490234,15.475308418273926,8.576334953308105
frejol,-4.440611,-79.81275,1,4.40786076899119,1609.971145874032,-1.355515486998523,-495.1020316262105,81.45595103881462,364.2587836205508,0.0,59.937707360283454,1.9589023997423092,230.1033821871477,126.1,6.694387179900144,3.2530721533258173,0.0,1114.8691,0.6924772932961885,30.925806045532227,23.84659194946289,7.079246520996094
frejol,-3.982905,-79.212067,1,4.123213098467769,1506.0035842153525,-0.1548381787294017,-56.55464478091399,72.86761153164761,256.9985827025285,0.0,3.10306611370591,0.1352995651473667,180.74551256240937,39.5,5.514927927202448,1.152987598647125,0.0,1449.449,0.9624457956297195,30.623083114624023,23.53511619567871,7.087989807128906
frejol,-3.843,-79.344,1,4.019883840239215,1468.2625726473736,-0.6272311921886897,-229.09619294691896,77.05991302947334,199.9551095184409,0.0,1.6853619745530684,0.0529433081011434,205.12002335319696,56.1,7.012047028507006,2.023610887421485,0.0,1239.1664,0.8439675247942441,30.925806045532227,23.84659194946289,7.079246520996094
frejol,-3.852,-79.33,1,4.01985494770592,1468.2520196495873,-0.6272022996554026,-229.08563994913573,77.05991302947334,199.9551095184409,0.0,1.6853619745530684,0.0529433081011434,205.12002335319696,56.1,7.012047028507006,2.023610887421485,0.0,1239.1664,0.8439735907868482,30.925806045532227,23.84659194946289,7.079246520996094
frejol,-2.03333,-78.95,1,4.01896821817992,1467.9281416902154,-1.1227169485759387,-410.0723654673617,76.47769367047833,234.30061000161052,0.0,7.062049041713641,0.2941294894507972,184.01034989531323,39.9,5.300213399903366,0.9941576743436944,0.0,1057.8557,0.7206434608970398,28.737197875976562,21.382944107055664,7.354296684265137
frejol,-1.51805,-78.49527,1,3.533109725984859,1290.4683274159695,0.5910174507186496,215.86912387498677,72.38605250442906,11.882831373812207,0.0,0.0,0.0,202.87581534868735,39.4,6.541439845385729,0.9912163794491866,0.0,1506.3374,1.1672803871647714,25.659221649169922,17.483850479125977,8.175352096557617
frejol,-4.3,-79.9333,1,4.344800675018389,1586.9384465504663,-1.3316006311663493,-486.36713053350906,82.44725398614915,363.6558181671766,0.0,43.357628039942014,1.27652198421646,240.5802746013851,138.9,6.653209051377033,3.308956756321469,0.0,1100.5714,0.6935182373008991,30.925806045532227,23.84659194946289,7.079246520996094
frejol,-2.2667,-78.9333,1,4.046843887402726,1478.109729873846,-1.3018059001660007,-475.48460503563166,77.47785472700917,208.3848606861008,0.0,9.268020212594616,0.5323743759059429,187.1487115477533,37.4,5.282565630536317,0.9853337896601706,0.0,1002.625,0.6783130215197878,28.737197875976562,21.382944107055664,7.354296684265137
frejol,-1.9667,-78.9333,1,3.897378482797875,1423.5174908419233,-1.072378096796123,-391.686099854784,76.26187791914961,169.43329239813173,0.0,1.9765501691093568,0.0676497825736833,191.3635871315832,42.8,5.944356981800612,1.279463279110968,0.0,1031.8314,0.7248436386023838,28.737197875976562,21.382944107055664,7.354296684265137
frejol,-2.96667,-79.8167,1,4.373588419819184,1597.453170338957,-1.4169758976411029,-517.5504466134128,84.33403124496698,364.717625624094,1.1353398292800772,225.58555322918343,102.9835581414076,245.1010448542438,79.2,9.247431148333062,3.37954783378966,0.0,1079.9028,0.676017193163571,30.925806045532227,23.84659194946289,7.079246520996094
frejol,-2.71667,-79.5667,1,4.281051200000785,1563.6539508002868,-0.7196441550188273,-262.8500276206266,79.69157674343694,364.88233813818647,0.0058825897890159,160.47999073924947,16.585961910130457,218.5411519568368,60.3,7.979733048800128,2.435392172652601,0.0,1300.804,0.8319031456030475,30.925806045532227,23.84659194946289,7.079246520996094
frejol,-4.1333,-79.9167,1,4.313463688759146,1575.492612319278,-1.1666577839828651,-426.1217555997415,81.89080367208891,360.2850942180705,0.0,29.277649379932356,1.085337816073442,242.18328031889192,139.0,6.735565308423256,3.36484135931712,0.0,1149.371,0.7295307388703062,30.925806045532227,23.84659194946289,7.079246520996094
frejol,0.13333,-78.61666,1,3.5171126431823474,1284.6253929223524,1.794813656327984,655.5556879737962,72.33129328394266,332.43103156708,0.0,4.379588097922371,0.0352955387340956,213.6056591238525,67.0,6.809097680785955,1.776542116282815,0.0,1940.181,1.5103147347901396,26.88028335571289,20.489971160888672,6.3903093338012695
frejol,-3.2,-79.1833,1,4.030389633233967,1472.0998135387065,-1.2586949980848652,-459.738348050497,83.35561282009986,156.48571227250764,0.0,1.626536076662909,0.0764736672572072,265.09302625221454,62.0,10.42689040103076,3.14718553712353,0.0,1012.3615,0.6876945317024562,30.214519500732422,23.011127471923828,7.203389644622803
frejol,-2.2667,-78.9667,1,4.046843887402726,1478.109729873846,-1.3018059001660007,-475.48460503563166,77.47785472700917,208.3848606861008,0.0,9.268020212594616,0.5323743759059429,187.1487115477533,37.4,5.282565630536317,0.9853337896601706,0.0,1002.625,0.6783130215197878,28.737197875976562,21.382944107055664,7.354296684265137
